,lemma,log_likelihood,relative_frequency,register,p_value,p_value_fdr
9,_,2871.1314240536826,0.006726066380765908,Epic,0.0,0.0
19829,υἱός,933.5983805349804,0.0024811535382200695,Epic,4.876223265914345e-205,5.501842710931156e-201
1795,Τρώς,850.2305635639259,0.002635730196351991,Epic,6.478006085622944e-187,3.6545671332041843e-183
12040,ναῦς,845.7077512442203,0.004720533329105596,Epic,6.2332285797150246e-186,3.014122202782484e-182
7158,θυμός,825.118831246284,0.0033372704140276336,Epic,1.8658614554203142e-181,7.894693050565277e-178
32506,Ὀδυσσεύς,803.6960705396224,0.0031192776910210778,Epic,8.481470517903865e-177,3.1898810617836434e-173
26190,Ἀχαιός,667.8964922430515,0.0033174528937543104,Epic,2.864554716903461e-147,8.080192717705439e-144
29738,ἑταῖρος,638.9272498109864,0.0017716863124350977,Epic,5.718048117478389e-141,1.4888477748348152e-137
5377,δῖος,556.5218706539248,0.001676562215123146,Epic,4.799912315663529e-123,1.083148213152632e-119
10683,μέγαρον,484.07406741839327,0.001193014720454059,Epic,2.774874961287675e-107,5.870421410289156e-104
31496,ἵππος,462.713770112449,0.0020689491165349462,Epic,1.2340471567711366e-102,2.4571330711497766e-99
30578,Ἕκτωρ,417.7653074819641,0.0020293140759883,Epic,7.479224571085045e-93,1.2658213625332884e-89
1753,Τηλέμαχος,400.9431474883267,0.0009710584933928388,Epic,3.432605534389702e-89,5.2813756697071375e-86
16160,πρόσφημι,397.59333214650286,0.0009314234528461923,Epic,1.8400935166911603e-88,2.5952218936032955e-85
10674,μάχομαι,355.73059241572275,0.0010106935339394853,Epic,2.3946960593798225e-79,2.795105755653366e-76
2534,βάλλω,345.13147272363864,0.0023107228638694897,Epic,4.868008791786545e-77,5.1492884247869615e-74
32355,ὄρνυμι,337.09123333243235,0.0009829490055568327,Epic,2.743823203761269e-75,2.8144142916398544e-72
31500,ἵστημι,325.5335330069642,0.0022591973111588492,Epic,9.028376443025946e-73,8.731471834856722e-70
17589,στῆθος,323.15032527651937,0.0007570292744409477,Epic,2.9833384039073926e-72,2.8050839342739257e-69
11610,μνηστήρ,320.4223143174619,0.0009591679812288448,Epic,1.171958480043064e-71,1.0721519619183153e-68
26197,Ἀχιλλεύς,304.3989373539465,0.001846992889473726,Epic,3.625883987928134e-68,3.146988387368703e-65
16482,πόλεμος,282.1734405066593,0.0012564307853286934,Epic,2.523319348051341e-63,2.0832155271265814e-60
25944,Ἀθήνη,274.50188157642555,0.0014982045326632368,Epic,1.1851497150976761e-61,9.117302887804828e-59
31305,ἱκνέομαι,268.25165250329786,0.0013515548826406449,Epic,2.728716852200748e-60,2.0525408162254027e-57
20706,χαλκός,264.4026938430027,0.0008204453393155821,Epic,1.883060851967692e-59,1.3736449722151564e-56
6054,εὐρύς,261.3459884807598,0.000642087656855673,Epic,8.732239795797865e-59,6.157866350999207e-56
9287,κρατερός,258.0607523322831,0.0006579416730743315,Epic,4.541839673450255e-58,3.1374843082983198e-55
15502,προσαυδάω,256.628859208236,0.0007332482501129599,Epic,9.318852999434762e-58,6.1849775525072014e-55
21445,ἀγορεύω,254.0828137677118,0.0006698321852383255,Epic,3.3448578843499513e-57,2.1773095101415673e-54
1288,Πάτροκλος,252.94945435468023,0.0006222701365823498,Epic,5.908085882783293e-57,3.7732603593647487e-54
29290,ἐρύω,251.2703884355319,0.0006183066325276851,Epic,1.3724176589917347e-56,8.602771359113191e-54
15562,προσεῖπον,248.4866339043174,0.0007966643149875943,Epic,5.5509979379413985e-56,3.3552808785960426e-53
2238,αἱρέω,243.88759417391245,0.002172000221956227,Epic,5.5855276800947864e-55,3.3169215165531303e-52
29783,ἔγχος,241.75912112962976,0.001082036606923449,Epic,1.626089007070674e-54,9.489911517299181e-52
21636,ἀθάνατος,237.6365442406805,0.00084422636364357,Epic,1.288412107866283e-53,7.268576906527636e-51
6998,θνῄσκω,233.48033972858468,0.0005469635595437214,Epic,1.0383953462562208e-52,5.7620727992502985e-50
30176,ἔπος,232.69139281866558,0.002386029440908118,Epic,1.5431537587393154e-52,8.424872835414046e-50
19176,τεύχω,224.74850806566337,0.0007213577379489659,Epic,8.33032409208411e-51,4.3380483106608465e-48
30413,ἕπομαι,215.68395310212793,0.0008561168758075639,Epic,7.904330012272267e-49,3.934612743903e-46
23586,ἀπαμείβομαι,211.4858149715441,0.000495438006833081,Epic,6.511910247668971e-48,3.104530281314747e-45
30590,ἠέλιος,211.4858149715441,0.000495438006833081,Epic,6.511910247668971e-48,3.104530281314747e-45
16311,πτερόεις,209.32377189786192,0.0005192190311610689,Epic,1.92930423103973e-47,8.945893002255318e-45
2608,βαίνω,208.69879959511556,0.0021918177422295504,Epic,2.640918256681197e-47,1.2080059739243491e-44
10137,λαός,202.8078286336673,0.001474423508335249,Epic,5.0947354814466975e-46,2.2396324845647957e-43
12772,οἴομαι,196.47662814391208,0.0005112920230517396,Epic,1.2267157222474682e-44,5.190387560294319e-42
22400,ἀμύμων,196.2588362935929,0.00045976647034109915,Epic,1.3685960323320643e-44,5.7192107528898815e-42
31949,ὀτρύνω,190.86970057991113,0.0005548905676530507,Epic,2.053508086774065e-43,8.274904193954204e-41
10763,μέμαα,184.1896808483978,0.00045976647034109915,Epic,5.897931417202648e-42,2.2431357364145218e-39
22140,ἀμείβω,184.125142536211,0.0007451387622769538,Epic,6.092412904634712e-42,2.2913564934331153e-39
31011,ἥρως,182.51518585215203,0.0004558029662864345,Epic,1.3685912740872498e-41,5.035374569193404e-39
30768,ἠώς,182.51518585215203,0.0004558029662864345,Epic,1.3685912740872498e-41,5.035374569193404e-39
1182,Νέστωρ,181.5412829369959,0.00047562048655975777,Epic,2.233075835368761e-41,8.127675693698623e-39
33290,ὠκύς,178.18252061388637,0.0004875109987237517,Epic,1.2085390970090373e-40,4.306088409964095e-38
7026,θοός,173.9183538007461,0.0006777591933476548,Epic,1.0313699516543578e-39,3.6365459889112875e-37
3901,δαμάζω,172.29585281193903,0.0006460511609103376,Epic,2.3321072547539263e-39,8.055050863894454e-37
25415,ἄνωγα,170.06144006661876,0.0006262336406370144,Epic,7.173768837252057e-39,2.4527767815368172e-36
10793,μένος,164.6004191491914,0.0008521533717528993,Epic,1.1184025802234006e-37,3.6054103750458937e-35
26171,Ἀτρείδης,163.46959570033198,0.0010186205420488145,Epic,1.9752979226312538e-37,6.307722583315595e-35
31280,ἱκάνω,163.42753784829256,0.0004875109987237517,Epic,2.0175326198112486e-37,6.382379593270183e-35
20615,χέω,162.49113000855294,0.0006737956892929901,Epic,3.2314085441814914e-37,1.0127772945555491e-34
33399,ὦμος,162.085766966854,0.000685686201456984,Epic,3.9623354237615965e-37,1.2304687317330851e-34
