text,register
Ἀλκίνοε κρεῖον πάντων ἀριδείκετε λαῶν,speech
ἦ τοι μὲν τόδε καλὸν ἀκουέμεν ἐστὶν ἀοιδοῦ,speech
τοιοῦδ’ οἷος ὅδ’ ἐστί θεοῖς ἐναλίγκιος αὐδήν,speech
οὐ γὰρ ἐγώ γέ τί φημι τέλος χαριέστερον εἶναι,speech
ἢ ὅτ’ ἐυφροσύνη μὲν ἔχῃ κάτα δῆμον ἅπαντα,speech
δαιτυμόνες δ’ ἀνὰ δώματ’ ἀκουάζωνται ἀοιδοῦ,speech
ἥμενοι ἑξείης παρὰ δὲ πλήθωσι τράπεζαι,speech
σίτου καὶ κρειῶν μέθυ δ’ ἐκ κρητῆρος ἀφύσσων,speech
οἰνοχόος φορέῃσι καὶ ἐγχείῃ δεπάεσσι,speech
τοῦτό τί μοι κάλλιστον ἐνὶ φρεσὶν εἴδεται εἶναι,speech
σοὶ δ’ ἐμὰ κήδεα θυμὸς ἐπετράπετο στονόεντα,speech
εἴρεσθ’ ὄφρ’ ἔτι μᾶλλον ὀδυρόμενος στεναχίζω,speech
τί πρῶτόν τοι ἔπειτα τί δ’ ὑστάτιον καταλέξω,speech
κήδε’ ἐπεί μοι πολλὰ δόσαν θεοὶ Οὐρανίωνες,speech
νῦν δ’ ὄνομα πρῶτον μυθήσομαι ὄφρα καὶ ὑμεῖς,speech
εἴδετ’ ἐγὼ δ’ ἂν ἔπειτα φυγὼν ὕπο νηλεὲς ἦμαρ,speech
ὑμῖν ξεῖνος ἔω καὶ ἀπόπροθι δώματα ναίων,speech
εἴμ’ Ὀδυσεὺς Λαερτιάδης ὃς πᾶσι δόλοισιν,speech
ἀνθρώποισι μέλω καί μευ κλέος οὐρανὸν ἵκει,speech
ναιετάω δ’ Ἰθάκην ἐυδείελον ἐν δ’ ὄρος αὐτῇ,speech
Νήριτον εἰνοσίφυλλον ἀριπρεπές ἀμφὶ δὲ νῆσοι,speech
πολλαὶ ναιετάουσι μάλα σχεδὸν ἀλλήλῃσι,speech
Δουλίχιόν τε Σάμη τε καὶ ὑλήεσσα Ζάκυνθος,speech
αὐτὴ δὲ χθαμαλὴ πανυπερτάτη εἰν ἁλὶ κεῖται,speech
πρὸς ζόφον αἱ δέ τ’ ἄνευθε πρὸς ἠῶ τ’ ἠέλιόν τε,speech
τρηχεῖ’ ἀλλ’ ἀγαθὴ κουροτρόφος οὔ τοι ἐγώ γε,speech
ἧς γαίης δύναμαι γλυκερώτερον ἄλλο ἰδέσθαι,speech
ἦ μέν μ’ αὐτόθ’ ἔρυκε Καλυψώ δῖα θεάων,speech
ἐν σπέσσι γλαφυροῖσι λιλαιομένη πόσιν εἶναι,speech
ὣς δ’ αὔτως Κίρκη κατερήτυεν ἐν μεγάροισιν,speech
Αἰαίη δολόεσσα λιλαιομένη πόσιν εἶναι,speech
ἀλλ’ ἐμὸν οὔ ποτε θυμὸν ἐνὶ στήθεσσιν ἔπειθον,speech
ὣς οὐδὲν γλύκιον ἧς πατρίδος οὐδὲ τοκήων,speech
γίγνεται εἴ περ καί τις ἀπόπροθι πίονα οἶκον,speech
γαίῃ ἐν ἀλλοδαπῇ ναίει ἀπάνευθε τοκήων,speech
εἰ δ’ ἄγε τοι καὶ νόστον ἐμὸν πολυκηδέ’ ἐνίσπω,speech
ὅν μοι Ζεὺς ἐφέηκεν ἀπὸ Τροίηθεν ἰόντι,speech
Ἰλιόθεν με φέρων ἄνεμος Κικόνεσσι πέλασσεν,speech
Ἰσμάρῳ ἔνθα δ’ ἐγὼ πόλιν ἔπραθον ὤλεσα δ’ αὐτούς,speech
ἐκ πόλιος δ’ ἀλόχους καὶ κτήματα πολλὰ λαβόντες,speech
δασσάμεθ’ ὡς μή τίς μοι ἀτεμβόμενος κίοι ἴσης,speech
ἔνθ’ ἦ τοι μὲν ἐγὼ διερῷ ποδὶ φευγέμεν ἡμέας,speech
ἠνώγεα τοὶ δὲ μέγα νήπιοι οὐκ ἐπίθοντο,speech
ἔνθα δὲ πολλὸν μὲν μέθυ πίνετο πολλὰ δὲ μῆλα,speech
ἔσφαζον παρὰ θῖνα καὶ εἰλίποδας ἕλικας βοῦς,speech
τόφρα δ’ ἄρ’ οἰχόμενοι Κίκονες Κικόνεσσι γεγώνευν,speech
οἵ σφιν γείτονες ἦσαν ἅμα πλέονες καὶ ἀρείους,speech
ἤπειρον ναίοντες ἐπιστάμενοι μὲν ἀφ’ ἵππων,speech
ἀνδράσι μάρνασθαι καὶ ὅθι χρὴ πεζὸν ἐόντα,speech
ἦλθον ἔπειθ’ ὅσα φύλλα καὶ ἄνθεα γίγνεται ὥρῃ,speech
ἠέριοι τότε δή ῥα κακὴ Διὸς αἶσα παρέστη,speech
ἡμῖν αἰνομόροισιν ἵν’ ἄλγεα πολλὰ πάθοιμεν,speech
στησάμενοι δ’ ἐμάχοντο μάχην παρὰ νηυσὶ θοῇσι,speech
βάλλον δ’ ἀλλήλους χαλκήρεσιν ἐγχείῃσιν,speech
ὄφρα μὲν ἠὼς ἦν καὶ ἀέξετο ἱερὸν ἦμαρ,speech
τόφρα δ’ ἀλεξόμενοι μένομεν πλέονάς περ ἐόντας,speech
ἦμος δ’ ἠέλιος μετενίσσετο βουλυτόνδε,speech
καὶ τότε δὴ Κίκονες κλῖναν δαμάσαντες Ἀχαιούς,speech
ἓξ δ’ ἀφ’ ἑκάστης νηὸς ἐυκνήμιδες ἑταῖροι,speech
ὤλονθ’ οἱ δ’ ἄλλοι φύγομεν θάνατόν τε μόρον τε,speech
ἔνθεν δὲ προτέρω πλέομεν ἀκαχήμενοι ἦτορ,speech
ἄσμενοι ἐκ θανάτοιο φίλους ὀλέσαντες ἑταίρους,speech
οὐδ’ ἄρα μοι προτέρω νῆες κίον ἀμφιέλισσαι,speech
πρίν τινα τῶν δειλῶν ἑτάρων τρὶς ἕκαστον ἀῦσαι,speech
οἳ θάνον ἐν πεδίῳ Κικόνων ὕπο δῃωθέντες,speech
νηυσὶ δ’ ἐπῶρσ’ ἄνεμον Βορέην νεφεληγερέτα Ζεὺς,speech
λαίλαπι θεσπεσίῃ σὺν δὲ νεφέεσσι κάλυψε,speech
γαῖαν ὁμοῦ καὶ πόντον ὀρώρει δ’ οὐρανόθεν νύξ,speech
αἱ μὲν ἔπειτ’ ἐφέροντ’ ἐπικάρσιαι ἱστία δέ σφιν,speech
