text,register
μῆνιν ἄειδε θεὰ Πηληϊάδεω Ἀχιλῆος,narrative
οὐλομένην ἣ μυρί’ Ἀχαιοῖς ἄλγε’ ἔθηκε,narrative
πολλὰς δ’ ἰφθίμους ψυχὰς Ἄϊδι προΐαψεν,narrative
ἡρώων αὐτοὺς δὲ ἑλώρια τεῦχε κύνεσσιν,narrative
οἰωνοῖσί τε πᾶσι Διὸς δ’ ἐτελείετο βουλή,narrative
ἐξ οὗ δὴ τὰ πρῶτα διαστήτην ἐρίσαντε,narrative
Ἀτρεΐδης τε ἄναξ ἀνδρῶν καὶ δῖος Ἀχιλλεύς,narrative
τίς τ’ ἄρ σφωε θεῶν ἔριδι ξυνέηκε μάχεσθαι,narrative
Λητοῦς καὶ Διὸς υἱός ὃ γὰρ βασιλῆϊ χολωθεὶς,narrative
νοῦσον ἀνὰ στρατὸν ὄρσε κακήν ὀλέκοντο δὲ λαοί,narrative
οὕνεκα τὸν Χρύσην ἠτίμασεν ἀρητῆρα,narrative
Ἀτρεΐδης ὃ γὰρ ἦλθε θοὰς ἐπὶ νῆας Ἀχαιῶν,narrative
λυσόμενός τε θύγατρα φέρων τ’ ἀπερείσι’ ἄποινα,narrative
στέμματ’ ἔχων ἐν χερσὶν ἑκηβόλου Ἀπόλλωνος,narrative
χρυσέῳ ἀνὰ σκήπτρῳ καὶ λίσσετο πάντας Ἀχαιούς,narrative
Ἀτρεΐδα δὲ μάλιστα δύω κοσμήτορε λαῶν,narrative
Ἀτρεΐδαι τε καὶ ἄλλοι ἐϋκνήμιδες Ἀχαιοί,speech
ὑμῖν μὲν θεοὶ δοῖεν Ὀλύμπια δώματ’ ἔχοντες,speech
ἐκπέρσαι Πριάμοιο πόλιν εὖ δ’ οἴκαδ’ ἱκέσθαι,speech
παῖδα δ’ ἐμοὶ λύσαιτε φίλην τὰ δ’ ἄποινα δέχεσθαι,speech
ἁζόμενοι Διὸς υἱὸν ἑκηβόλον Ἀπόλλωνα,speech
