text,register
μῆνιν ἄειδε θεὰ Πηληϊάδεω Ἀχιλῆος οὐλομένην ἣ μυρί’ Ἀχαιοῖς ἄλγε’ ἔθηκε πολλὰς δ’ ἰφθίμους ψυχὰς Ἄϊδι προΐαψεν ἡρώων αὐτοὺς δὲ ἑλώρια τεῦχε κύνεσσιν οἰωνοῖσί τε πᾶσι Διὸς δ’ ἐτελείετο βουλή ἐξ οὗ δὴ τὰ πρῶτα διαστήτην ἐρίσαντε Ἀτρεΐδης τε ἄναξ ἀνδρῶν καὶ δῖος Ἀχιλλεύς,narrative
τίς τ’ ἄρ σφωε θεῶν ἔριδι ξυνέηκε μάχεσθαι,narrative
Λητοῦς καὶ Διὸς υἱός,narrative
ὃ γὰρ βασιλῆϊ χολωθεὶς νοῦσον ἀνὰ στρατὸν ὄρσε κακήν ὀλέκοντο δὲ λαοί οὕνεκα τὸν Χρύσην ἠτίμασεν ἀρητῆρα Ἀτρεΐδης,narrative
ὃ γὰρ ἦλθε θοὰς ἐπὶ νῆας Ἀχαιῶν λυσόμενός τε θύγατρα φέρων τ’ ἀπερείσι’ ἄποινα στέμματ’ ἔχων ἐν χερσὶν ἑκηβόλου Ἀπόλλωνος χρυσέῳ ἀνὰ σκήπτρῳ καὶ λίσσετο πάντας Ἀχαιούς Ἀτρεΐδα δὲ μάλιστα δύω κοσμήτορε λαῶν,narrative
Ἀτρεΐδαι τε καὶ ἄλλοι ἐϋκνήμιδες Ἀχαιοί ὑμῖν μὲν θεοὶ δοῖεν Ὀλύμπια δώματ’ ἔχοντες ἐκπέρσαι Πριάμοιο πόλιν εὖ δ’ οἴκαδ’ ἱκέσθαι,speech
παῖδα δ’ ἐμοὶ λύσαιτε φίλην τὰ δ’ ἄποινα δέχεσθαι ἁζόμενοι Διὸς υἱὸν ἑκηβόλον Ἀπόλλωνα,speech
ἔνθ’ ἄλλοι μὲν πάντες ἐπευφήμησαν Ἀχαιοὶ αἰδεῖσθαί θ’ ἱερῆα καὶ ἀγλαὰ δέχθαι ἄποινα,narrative
ἀλλ’ οὐκ Ἀτρεΐδῃ Ἀγαμέμνονι ἥνδανε θυμῷ ἀλλὰ κακῶς ἀφίει κρατερὸν δ’ ἐπὶ μῦθον ἔτελλε,narrative
μή σε γέρον κοίλῃσιν ἐγὼ παρὰ νηυσὶ κιχείω ἢ νῦν δηθύνοντ’ ἢ ὕστερον αὖτις ἰόντα μή νύ τοι οὐ χραίσμῃ σκῆπτρον καὶ στέμμα θεοῖο,speech
τὴν δ’ ἐγὼ οὐ λύσω,speech
πρίν μιν καὶ γῆρας ἔπεισιν ἡμετέρῳ ἐνὶ οἴκῳ ἐν Ἄργεϊ τηλόθι πάτρης ἱστὸν ἐποιχομένην καὶ ἐμὸν λέχος ἀντιόωσαν,speech
ἀλλ’ ἴθι μή μ’ ἐρέθιζε σαώτερος ὥς κε νέηαι,speech
ὣς ἔφατ’ ἔδεισεν δ’ ὃ γέρων καὶ ἐπείθετο μύθῳ,narrative
βῆ δ’ ἀκέων παρὰ θῖνα πολυφλοίσβοιο θαλάσσης,narrative
