bigram,log_likelihood,relative_frequency,total_count,register,p_value,p_value_fdr
πατρίς γαῖα,51.08497392253937,0.0009296628058317201,85,Speech,8.845279733545521e-13,5.335561188071994e-09
κακός πάσχω,30.042048881722607,0.00025155581804858307,23,Speech,4.227784836025041e-08,0.0001020096836375466
πολυμήχανος Ὀδυσσεύς,28.73587284338684,0.0002406186085682099,22,Speech,8.295282830920886e-08,0.00016679325188132628
ἀτρεκής καταλέγω,27.42969680505108,0.00022968139908783672,21,Speech,1.6291023978929605e-07,0.00028902672277441547
διογενής Λαερτιάδης,27.42969680505108,0.00022968139908783672,21,Speech,1.6291023978929605e-07,0.00028902672277441547
Λαερτιάδης πολυμήχανος,27.42969680505108,0.00022968139908783672,21,Speech,1.6291023978929605e-07,0.00028902672277441547
φίλος πατρίς,25.957517174312343,0.0005468604740186589,50,Speech,3.4901374930143104e-07,0.0005540225887266216
Ζεύς πατήρ,25.474068657215966,0.0007546674541457492,69,Speech,4.483689565098397e-07,0.0006934888160417958
μέγας κῦδος,23.511168690043778,0.0001968697706467172,18,Speech,1.241907399458315e-06,0.001664735472060556
πατρίς αἶα,20.898816613372247,0.00017499535168597085,16,Speech,4.8419362978364205e-06,0.005616739219649822
φρήν βάλλω,19.592640575036484,0.00016405814220559766,15,Speech,9.583764973407018e-06,0.009635038116014747
ἀνήρ δυσμενής,19.592640575036484,0.00016405814220559766,15,Speech,9.583764973407018e-06,0.009635038116014747
φίλος ἀνήρ,18.28646453670072,0.00015312093272522447,14,Speech,1.9005276256995055e-05,0.016859077486738216
θεός Ὄλυμπος,16.98028849836495,0.00014218372324485131,13,Speech,3.776991330751531e-05,0.02920921718746963
Ἀργεῖος ἡγήτωρ,16.98028849836495,0.00014218372324485131,13,Speech,3.776991330751531e-05,0.02920921718746963
νημερτής ἐνέπω,16.98028849836495,0.00014218372324485131,13,Speech,3.776991330751531e-05,0.02920921718746963
πότμος ἐφέπω,16.77900713101038,0.00025155581804858307,23,Speech,4.199533354168195e-05,0.03206582929832655
Ζεύς τέκος,15.674112460029185,0.00013124651376447813,12,Speech,7.524706888354357e-05,0.0449403806150914
θνητός ἄνθρωπος,15.674112460029185,0.00013124651376447813,12,Speech,7.524706888354357e-05,0.0449403806150914
ἆ δειλός,15.674112460029185,0.00013124651376447813,12,Speech,7.524706888354357e-05,0.0449403806150914
Ἀτρείδης κύδιστος,15.674112460029185,0.00013124651376447813,12,Speech,7.524706888354357e-05,0.0449403806150914
φίλος τέκος,14.762158603172228,0.000185932561166344,17,Speech,0.00012195854417103744,0.06344226838772696
χλαῖνα χιτών,14.762158603172228,0.000185932561166344,17,Speech,0.00012195854417103744,0.06344226838772696
καρδία θυμός,14.548185426636948,0.00022968139908783672,21,Speech,0.00013662016658127523,0.06747582073956349
ἀθάνατος θεός,14.389516127298693,0.00044842558869530026,41,Speech,0.00014862748938868786,0.07029998532506075
ὄρχαμος λαός,14.36793642169342,0.00012030930428410496,11,Speech,0.00015034064599281903,0.07029998532506075
θεός ἐθέλω,14.36793642169342,0.00012030930428410496,11,Speech,0.00015034064599281903,0.07029998532506075
ναῦς ἑταῖρος,14.36793642169342,0.00012030930428410496,11,Speech,0.00015034064599281903,0.07029998532506075
ἀνήρ φίλος,14.36793642169342,0.00012030930428410496,11,Speech,0.00015034064599281903,0.07029998532506075
